NAMES OF PUBLISHERS,HASHTAGS,USERS TAGGED,LINKS,ReplyCount,RetweetCount,LikeCount,DATES,NUMBER OF IMAGES
ShahidChaudhry,"['#follobackforfolloback', '#follo4follo', '#F4F', '#hot', '#boy', '#facechallenge', '#good', '#look']","['@vishnuchaudhry5', '@ShahidC89080840', '@ScSaqib', '@LadkeSalty', '@desi_9jawan', '@ameersalalah1']",[],2,,13,2020-09-06 20:15:32.000 ,1
GOOD,[],[],[],,2,1,2022-03-12 21:00:06.000 ,2
Poshmark,"['#sapnap', '#george', '#sapnap']",[],[],,4,9,2022-03-12 21:09:30.000 ,1
Mashable,['#good'],[],[],8,4,98,2022-03-10 21:53:57.000 ,1
